epoch,loss,accuracy
0,3.8120248715082803,0.28215712308883667
1,3.271723767121633,0.27423739433288574
2,3.051163454850515,0.31548038125038147
3,2.8979296882947287,0.33568239212036133
4,2.7790454228719077,0.3734353482723236
5,2.659705380598704,0.3927648663520813
6,2.561483840147654,0.42041680216789246
7,2.4738818804423013,0.43447765707969666
8,2.388705233732859,0.4483036398887634
9,2.32681413491567,0.4610893130302429
10,2.2639360427856445,0.4736400544643402
11,2.2103642225265503,0.4846806824207306
12,2.162520448366801,0.49421122670173645
13,2.1097683906555176,0.5050840377807617
14,2.0779584844907126,0.511426568031311
15,2.038618266582489,0.5160911679267883
16,2.001279433568319,0.52250075340271
17,1.9607501129309337,0.5271989107131958
18,1.9370768070220947,0.5307224988937378
19,1.9032516082127888,0.5364609360694885
20,1.8944743971029918,0.5403537154197693
21,1.8745412329832714,0.5417966842651367
22,1.8564418057600658,0.5455552339553833
23,1.8330585757891338,0.544414222240448
24,1.8197205166021984,0.5513607859611511
25,1.8005633652210236,0.5521997213363647
26,1.7877793610095978,0.5513607859611511
27,1.7780501544475555,0.5517970323562622
28,1.7584385971228282,0.5554884672164917
29,1.7561611731847127,0.5557569265365601
30,1.7434709469477336,0.5587771534919739
31,1.7285016377766926,0.5580052733421326
32,1.724561055501302,0.5614953637123108
33,1.716738889614741,0.5612269043922424
34,1.7120670080184937,0.5617973804473877
35,1.6984645227591197,0.5642471313476562
36,1.6792774399121602,0.5630725622177124
37,1.6764952441056569,0.5652874112129211
38,1.6698738137880962,0.5664955377578735
39,1.6659836173057556,0.5659921765327454
40,1.6645230650901794,0.5681062936782837
41,1.6523093581199646,0.567200243473053
42,1.6434132953484852,0.5699184536933899
43,1.6464155217011769,0.5703211426734924
44,1.6296025315920513,0.5714957118034363
45,1.6359647810459137,0.5718648433685303
46,1.6289351383845012,0.5724688768386841
47,1.631739358107249,0.5725359916687012
48,1.62222616871198,0.5733749270439148
49,1.6177214483420055,0.5732071399688721
50,1.6192417641480763,0.5757240056991577
51,1.613266756137212,0.5769656896591187
52,1.6043452123800914,0.576294481754303
53,1.601030598084132,0.5764622688293457
54,1.5964012344678242,0.5767979025840759
55,1.5973375538984935,0.5786435604095459
56,1.602923979361852,0.5786771178245544
57,1.5853419701258342,0.5785764455795288
58,1.5900198817253113,0.5801537036895752
59,1.5849278767903645,0.5789455771446228
60,1.5818467438220978,0.5796838998794556
61,1.5799707273642223,0.581496000289917
62,1.582838495572408,0.5805563926696777
63,1.5766201814015706,0.5809926390647888
64,1.5765843788782756,0.5796838998794556
65,1.5663606723149617,0.5804221630096436
66,1.567206750313441,0.5822007656097412
67,1.56780739625295,0.5825698971748352
68,1.5582020183404286,0.5833417177200317
69,1.5613910456498463,0.5827376842498779
70,1.557273954153061,0.5826705694198608
71,1.5542743802070618,0.583912193775177
72,1.5537083347638447,0.582804799079895
73,1.5473128358523052,0.5836101770401001
74,1.5470155874888103,0.5830397009849548
75,1.5488946239153545,0.5839457511901855
76,1.545718401670456,0.5851203203201294
77,1.5404850045839946,0.5831403732299805
78,1.5414210160573323,0.5850867629051208
79,1.5464328825473785,0.5850196480751038
80,1.5433298250039418,0.5866639614105225
81,1.5420711934566498,0.5846505165100098
82,1.5420843760172527,0.5851538777351379
83,1.5331940551598866,0.5850867629051208
84,1.5362435777982075,0.5861606001853943
85,1.5316277742385864,0.5857579112052917
86,1.5370274384816487,0.5851538777351379
87,1.5314749479293823,0.5857579112052917
88,1.5304241478443146,0.587570071220398
89,1.5227359334627788,0.5867981910705566
90,1.532241513331731,0.5862612724304199
91,1.5284119645754497,0.5857914686203003
92,1.5275655388832092,0.5873351693153381
93,1.5221771001815796,0.587200939655304
94,1.5191555817921956,0.5873351693153381
95,1.5191449622313182,0.5877043008804321
96,1.5204063753286998,0.5878385305404663
97,1.5230595568815868,0.5866639614105225
98,1.5204605559508007,0.5879056453704834
99,1.5214868287245433,0.5887781381607056
100,1.5181797643502553,0.5882412195205688
