epoch,loss,accuracy
0,5.247563276290894,0.26333189010620117
1,3.0684087753295897,0.5291051268577576
2,2.2683584594726565,0.6048877239227295
3,1.8657334280014037,0.6644457578659058
4,1.6225657224655152,0.7011418342590332
5,1.4435108184814454,0.7303359508514404
6,1.3174979972839356,0.7504768371582031
7,1.1933450043201446,0.7671591639518738
8,1.1567638635635376,0.7771533131599426
9,1.0886749362945556,0.7853927612304688
10,1.0329858374595642,0.7921063899993896
11,0.9637770915031433,0.8015156388282776
12,0.9326712346076965,0.8069831728935242
13,0.8924755048751831,0.8122218251228333
14,0.8600303339958191,0.8160873055458069
15,0.8562129831314087,0.8204867243766785
16,0.8164730954170227,0.8228009343147278
17,0.8082242321968078,0.8269460797309875
18,0.7800495505332947,0.8289805054664612
19,0.7432312196493149,0.8324644565582275
20,0.7403930830955505,0.8361772894859314
21,0.7585841131210327,0.8375505208969116
22,0.7544506812095642,0.8394832611083984
23,0.7415595436096192,0.8402461409568787
24,0.689927384853363,0.8426366448402405
25,0.6732466232776642,0.84418785572052
26,0.709799382686615,0.8467309474945068
27,0.6447618453204632,0.8443150520324707
28,0.6672010087966919,0.8492230772972107
29,0.6327520704269409,0.8499605655670166
30,0.6329404377937317,0.85031658411026
31,0.6575747179985046,0.8506980538368225
32,0.6252280378341675,0.8520458936691284
33,0.677865092754364,0.8525545001029968
34,0.6183557367324829,0.853927731513977
35,0.6553757786750793,0.8553264141082764
36,0.5942441695928573,0.8558858633041382
37,0.5933405160903931,0.8574371337890625
38,0.6134299778938294,0.8573862910270691
39,0.5892081582546234,0.8581491708755493
40,0.6009791541099548,0.8585560321807861
41,0.5845056176185608,0.8601073026657104
42,0.5781720328330994,0.8613280057907104
43,0.5630306440591812,0.8609973788261414
44,0.6292544293403626,0.8625994920730591
45,0.5670295310020447,0.8610482215881348
46,0.5861482667922974,0.8629046678543091
47,0.5480430960655213,0.8638710379600525
48,0.5461520272493362,0.8648627996444702
49,0.5509850764274598,0.8638201355934143
50,0.5715207839012146,0.8651934266090393
51,0.5420651423931122,0.8645830750465393
52,0.5471466827392578,0.865727424621582
53,0.5842383503913879,0.8658037185668945
54,0.5444731032848358,0.8651171326637268
55,0.5306424325704575,0.8682704567909241
56,0.5341842567920685,0.8675838708877563
57,0.5339259362220764,0.8673804402351379
58,0.5221322363615036,0.8682959079742432
59,0.5140503673255443,0.8690842390060425
60,0.5420067954063416,0.8687790632247925
61,0.5127424693107605,0.8687282204627991
62,0.541685426235199,0.8684484958648682
63,0.5287878894805909,0.8715764284133911
64,0.5125921553373337,0.8695420026779175
65,0.5235158967971801,0.8710932731628418
66,0.5115991413593293,0.8729496598243713
67,0.5227258658409119,0.872008740901947
68,0.5249033010005951,0.8725936412811279
69,0.5034432125091552,0.8745517730712891
70,0.5113499259948731,0.8724156618118286
71,0.5074513852596283,0.8720341920852661
72,0.5228057062625885,0.8725936412811279
73,0.4988556486368179,0.8727970719337463
74,0.5771026396751404,0.8733819723129272
75,0.49661163210868836,0.8717290163040161
76,0.49489307194948196,0.8744246363639832
77,0.5052948796749115,0.8738142848014832
78,0.501486679315567,0.8734074234962463
79,0.5273107278347016,0.8740686178207397
80,0.5390899300575256,0.8742465972900391
81,0.5048468947410584,0.8745517730712891
82,0.4914444035291672,0.8740686178207397
83,0.48808311522006986,0.8741703033447266
84,0.4874584573507309,0.8745263814926147
85,0.5064826714992523,0.8751621246337891
86,0.48543298095464704,0.8739160299301147
87,0.4809004271030426,0.8764082193374634
88,0.5112043046951293,0.8762301802635193
89,0.5072581076622009,0.8752638697624207
90,0.49904778122901916,0.8766116499900818
91,0.5313409125804901,0.87574702501297
92,0.4842917823791504,0.8764845132827759
93,0.474271802008152,0.8767642378807068
94,0.4776374226808548,0.877984881401062
95,0.47600542426109316,0.8781629204750061
96,0.4766862094402313,0.877832293510437
97,0.4741874635219574,0.8782392144203186
98,0.4666095513105393,0.8777559995651245
99,0.48691757321357726,0.8786969184875488
100,0.4731371068954468,0.8779594898223877
